owner_id,owner_name,team,region
1,Allison Hill,SMB,APAC
2,Noah Rhodes,Enterprise,NA
3,Angie Henderson,Enterprise,EMEA
4,Daniel Wagner,Enterprise,APAC
5,Cristian Santos,SMB,APAC
6,Connie Lawrence,SMB,LATAM
7,Abigail Shaffer,Enterprise,APAC
8,Gina Moore,Enterprise,EMEA
9,Gabrielle Davis,Enterprise,APAC
10,Ryan Munoz,SMB,EMEA
11,Monica Herrera,SMB,LATAM
12,Jamie Arnold,Enterprise,LATAM
13,Lisa Hensley,SMB,NA
14,Michele Williams,Enterprise,EMEA
15,Dylan Miller,SMB,LATAM
16,Brian Ramirez,Mid-Market,NA
17,Holly Wood,Enterprise,EMEA
18,Derek Zuniga,Mid-Market,APAC
19,Lisa Jackson,Enterprise,LATAM
20,Carla Gray,Enterprise,NA
21,Margaret Hawkins DDS,Mid-Market,NA
22,Patty Perez,Enterprise,LATAM
23,Ethan Adams,SMB,APAC
24,Tommy Walter,Mid-Market,APAC
25,Matthew Foster,SMB,NA
26,Judy Baker,SMB,NA
27,Justin Baker,SMB,EMEA
28,Stephanie Ross,SMB,APAC
29,Zachary Hicks,Enterprise,EMEA
30,Anthony Rodriguez,Mid-Market,APAC
31,Rebecca Henderson,Enterprise,APAC
32,James Ferrell,Mid-Market,NA
33,Tricia Valencia,Mid-Market,NA
34,Nathan Maldonado,Enterprise,NA
35,Debra Davidson,Mid-Market,EMEA
36,Jeffrey Chavez,SMB,NA
37,Sherri Baker,SMB,APAC
38,Cassandra Gaines,SMB,EMEA
39,Elizabeth Fowler,SMB,EMEA
40,Brittany Farmer,Enterprise,LATAM
41,Paula Moreno,Mid-Market,NA
42,Fred Smith,SMB,EMEA
43,Sherry Decker,SMB,NA
44,Anthony Humphrey,Enterprise,EMEA
45,Angelica Tucker,Enterprise,NA
46,Philip Cannon,Mid-Market,NA
47,John Pierce,Enterprise,EMEA
48,Shane Henderson,SMB,NA
49,Joshua Blair,Enterprise,LATAM
50,Eric Carney,Mid-Market,LATAM
51,Jessica Holmes,Enterprise,NA
52,Danny Morgan,Enterprise,EMEA
53,Crystal Robinson,SMB,NA
54,Mark Perez,SMB,LATAM
55,Shannon Jones,SMB,LATAM
56,Michael Lewis,Mid-Market,EMEA
57,Timothy Duncan,Enterprise,LATAM
58,Richard Aguirre,Enterprise,APAC
59,Brent Jordan,Enterprise,EMEA
60,John Daniel,SMB,EMEA
61,Victoria Garcia,SMB,LATAM
62,Gerald Hensley,SMB,APAC
63,Connor West,Mid-Market,LATAM
64,Donald Wright,SMB,LATAM
65,Jessica Callahan,SMB,NA
66,Amber Kidd,SMB,APAC
67,Tracy House,SMB,APAC
68,Carol Tucker,SMB,NA
69,James Brown,SMB,NA
70,William Baker,Enterprise,NA
71,Jordan Henderson,Mid-Market,EMEA
72,Whitney Peters,Mid-Market,APAC
73,Brittney Phillips,SMB,NA
74,Lauren Daniels,SMB,EMEA
75,Amy Silva,SMB,APAC
76,Sarah Moore,SMB,NA
77,Angela Lopez,SMB,EMEA
78,Megan Young,Enterprise,NA
79,Steve Sanchez,Enterprise,APAC
80,Lisa Barnes,SMB,NA
