contact_id,customer_id,contact_name,email,phone,role,active_flag
1,2,James Webster,shannonrussell@example.net,563-411-3030,Technical,False
2,2,Jessica Welch,carolyn78@example.com,931-935-8419x008,Technical,True
3,3,Margaret Gaines,jeffreylove@example.com,370-567-5654,Decision Maker,True
4,4,Cameron Craig,dianejimenez@example.org,876-480-9228,Decision Maker,False
5,4,Travis Hogan,eric12@example.net,+1-293-330-1775,Decision Maker,False
6,4,Sarah Hernandez,anthony50@example.org,(781)257-6128x201,Finance,True
7,4,Chelsea Byrd,rmontgomery@example.com,+1-716-648-2126,Decision Maker,True
8,6,Dennis Becker,timothy73@example.com,665-766-6678,Decision Maker,False
9,6,Paul Perez,lewismartha@example.org,440.657.1701x50668,Finance,True
10,6,Amanda Ferguson,alexis64@example.net,301-299-3719x220,Decision Maker,True
11,6,Laura Brown,xtanner@example.org,001-601-425-2683x15405,Decision Maker,True
12,6,Matthew Ball,lisa46@example.com,(531)910-3822,Decision Maker,True
13,7,John French,nicholas20@example.net,+1-596-782-8700x460,Decision Maker,True
14,8,David Gonzalez,sharoncook@example.com,001-855-995-5821,Procurement,False
15,8,David Garcia,lewisnicole@example.org,996.654.8806x908,Finance,True
16,8,Kristin Thomas,thomasarthur@example.org,680.427.1848x74887,Procurement,False
17,8,Andrea Wood,lisacraig@,642-519-6479x3224,Finance,True
18,10,Gary Walker,richardhughes@example.com,504-418-0843x41115,Technical,True
19,12,Regina Perez,megan77@example.net,478.972.1455,Technical,True
20,12,Angela Miller,mcgeepaul@example.org,001-435-582-6424x0002,Finance,True
21,12,Nicole Aguilar,adam87@example.net,+1-582-867-7541x0477,Finance,False
22,12,Richard Frost,amber73@example.org,001-544-991-8005,Technical,True
23,12,Cindy Thomas,brian37@example.net,+1-505-277-1538,Technical,True
24,13,Robert Brooks,robertsandrew@example.com,785.541.8803x12171,Finance,True
25,13,David Barker,meganlee@example.com,(906)277-4442x5496,Decision Maker,False
26,13,Wayne Tanner,wschmitt@,546-639-1029,Technical,False
27,13,Elizabeth Johnson,antonio81@example.net,+1-426-513-2859x1719,Procurement,True
28,14,Christina Knox,hallen@example.net,(214)436-4329x04561,Decision Maker,False
29,14,Sarah Bullock,charles94@example.net,560.725.5330x257,Decision Maker,True
30,15,Christine Medina,jenniferroberts@example.net,001-580-958-2226x3015,Decision Maker,False
31,15,Garrett Dean,mark32example.com,239-533-1405,Finance,True
32,15,Rebecca Bell,isingh@example.org,(518)673-6370,Finance,False
33,16,Charles Parsons,fgriffin@example.org,+1-436-267-7739x545,Decision Maker,False
34,16,Lisa Daniel,jeffrey69@example.com,713.596.1699,Finance,True
35,17,Robert Turner,lisawalker@example.org,719.993.8474x8079,Procurement,True
36,17,Joseph Taylor,jordannicole@example.net,485.418.6056x828,Procurement,True
37,17,Darryl Poole,julieprice@example.org,340-950-3542,Finance,False
38,17,Shelby Jones,daniel35@example.org,(546)632-0149x93054,Finance,False
39,17,Hector Rich,timothy77@example.org,+1-450-227-8572x6863,Procurement,False
40,18,Julie Smith,mcneilkimberly@example.com,208-299-4761x3898,Decision Maker,False
41,18,Michael Hernandez,wjones@example.org,(844)743-3686x151,Technical,False
42,19,Paul Gray,derekstevens@example.com,(509)680-4450,Procurement,False
43,20,Mary Smith,qmartin@example.com,334.327.2210x6973,Technical,False
44,21,Austin Sutton,jenniferdavidson@example.com,(772)254-4990x521,Procurement,False
45,21,Richard Rodriguez,invalid_email,+1-664-720-8005x1330,Decision Maker,True
46,21,Jeffery Reese,davissteven@example.com,561-733-0339x9866,Finance,True
47,21,Stephanie Wiggins,ashley04@example.com,972-345-1204,Decision Maker,False
48,21,Edward Thomas,wfox@example.org,+1-333-660-7345x44732,Decision Maker,False
49,22,Andrea Harper,castanedaadam@example.net,950-628-0432x882,Technical,True
50,22,Jeremy Moss,elizabeth28@example.com,204.351.5397x1382,Decision Maker,False
51,22,Michael Trujillo,cervantesmaria@example.org,+1-715-851-0001x8656,Technical,False
52,23,Christian Herring,weberronald@example.org,2814761214,Finance,False
53,24,Troy Shea,rlee@example.com,8938694789,Finance,True
54,25,Antonio Garcia,cameron43@example.net,463-428-1596x1429,Finance,True
55,25,Joel Hodge,lphillips@example.org,(881)730-6294,Finance,True
56,25,Amanda Savage,rfisher@example.net,001-486-391-2614x771,Decision Maker,True
57,25,Perry Turner,diana22@example.net,(550)516-3977,Procurement,False
58,25,Joseph Clayton,garyhuang@example.net,4619460172,Technical,True
59,26,Jamie Reyes,lauren91@example.com,001-339-570-0337,Finance,False
60,26,Christina Foster,invalid_email,(385)514-5948,Finance,True
61,26,Terri Graves,johnsonkim@example.com,(348)249-4541x38664,Procurement,True
62,26,Edward Rojas,brianrandall@example.org,(409)715-2907x662,Procurement,False
63,26,Edwin Zamora,njohnson@example.org,001-241-342-0510x169,Technical,True
